# X Y
 0.00000 100.00000
 0.00000 90.00000
 0.00000 70.00000
 0.00000 50.00000
 0.00000 33.67492
 0.00004 27.46522
 0.00009 23.30432
 0.00034 10.24566
 0.00069 8.49427
 0.00253 8.31546
 0.00996 3.33887
 0.03419 1.12484
 0.07743 0.99456
 0.30456 0.45968
 0.85758 0.07243
 1.23456 0.01984
 1.33945 0.00745
 1.35944 0.00456
 1.40568 0.00145
 1.43853 0.00059
 1.63677 0.00019
 2.22396 0.00011
 2.45402 0.00009
 2.93439 0.00006
 3.62395 0.00005
 4.36546 0.00003
 4.38235 0.00002
 4.76169 0.00000
10.00000 0.00000
30.00000 0.00000
60.00000 0.00000
90.00000 0.00000
100.00000 0.00000
