# X Y
0.00000 0.00000
0.000007 0.000009
0.000019 0.000021
0.000029 0.000041
0.000032 0.0000734
0.000047 0.00013
0.000053 0.00021
0.000067 0.00097
0.000091 0.00523
0.00043 0.07756
0.00066 0.90465
0.00092 0.99234
0.00157 1.27345
0.00278 2.46435
0.00497 3.45965
0.00829 4.64565
0.01265 5.23533
0.02235 7.64756
0.05345 9.29568
0.08000 11.80573
0.08742 12.50573
0.10000 15.34967
0.20000 20.09274
0.50000 26.12974
0.80000 32.53296
1.00000 35.47568
2.00000 38.35475
5.00000 41.87653
8.00000 45.24657
10.00000 51.34573
20.00000 59.65678
50.00000 70.43778
80.00000 84.463457
100.00000 100.00000
