# X Y
0.00000 0.00000
0.0000031 0.000033
0.0000092 0.000041
0.000012 0.0000734
0.000017 0.00013
0.00002 0.00021
0.00002 0.00097
0.00003 0.00523
0.00005 0.84756
0.000057 0.90465
0.000064 1.49234
0.000077 2.27345
0.000083 3.46435
0.000089 6.45965
0.000097 8.64565
0.00010 9.23533
0.00020 12.64756
0.00050 14.29568
0.00080 14.80573
0.00100 15.34563
0.00200 15.80573
0.00500 16.52345
0.00800 17.78435
0.01000 18.34566
0.02000 20.80573
0.05000 22.50573
0.08000 25.50573
0.10000 28.34967
0.20000 32.09274
0.50000 35.12974
0.80000 38.53296
1.00000 43.47568
2.00000 68.35475
5.00000 76.87653
8.00000 82.24657
10.00000 88.34573
20.00000 95.65678
50.00000 99.43778
80.00000 99.463457
100.00000 100.00000
